usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
68400;1253;2013-01-02 08:32:24.7;8;PLAZA ITALIA;2013-01-02 08:50:30.873;3;RETIRO;18
59048;263;2013-01-02 08:32:30.78;8;PLAZA ITALIA;2013-01-02 08:55:44.623;3;RETIRO;23
66162;650;2013-01-02 08:32:36.233;3;RETIRO;2013-01-02 08:38:11.467;34;SUIPACHA;6
39492;1137;2013-01-02 08:32:37.373;8;PLAZA ITALIA;2013-01-02 08:55:30.437;3;RETIRO;23
13802;876;2013-01-02 08:32:46.217;5;ADUANA;2013-01-02 08:49:09.153;18;TRIBUNALES;16
51602;1244;2013-01-02 08:32:50.153;18;TRIBUNALES;2013-01-02 08:40:06.217;28;PLAZA SAN MARTIN;7
59779;714;2013-01-02 08:32:56.467;6;DERECHO;2013-01-02 08:52:04.687;36;EMMA DE LA BARRA;19
62623;1355;2013-01-02 08:33:09.28;15;CONGRESO;2013-01-02 08:47:28.733;7;PLAZA ROMA;14
59627;933;2013-01-02 08:33:18.013;3;RETIRO;2013-01-02 08:46:06.11;17;UCA PUERTO MADERO;13
12107;1519;2013-01-02 08:33:21.03;3;RETIRO;2013-01-02 08:42:02;7;PLAZA ROMA;9
65502;521;2013-01-02 08:33:34.45;9;PARQUE LEZAMA;2013-01-02 08:55:34.59;15;CONGRESO;22
27668;159;2013-01-02 08:33:34.89;25;PLAZA ALMAGRO;2013-01-02 08:58:18.03;24;PLAZA DE MAYO;25
41444;1117;2013-01-02 08:33:49.67;27;INDEPENDENCIA;2013-01-02 08:42:44.247;10;OBELISCO;9
71497;1433;2013-01-02 08:35:06.937;3;RETIRO;2013-01-02 08:56:37.623;21;PACIFICO;22
39313;1026;2013-01-02 08:35:50.857;9;PARQUE LEZAMA;2013-01-02 08:47:44.543;5;ADUANA;12
11719;1170;2013-01-02 08:35:53.34;6;DERECHO;2013-01-02 08:56:54.06;7;PLAZA ROMA;21
34195;1588;2013-01-02 08:35:59.327;25;PLAZA ALMAGRO;2013-01-02 09:12:59.42;34;SUIPACHA;37
1190;291;2013-01-02 08:36:02.827;19;PLAZA VICENTE LOPEZ;2013-01-02 08:43:27.497;34;SUIPACHA;7
15004;1391;2013-01-02 08:36:52.967;3;RETIRO;2013-01-02 08:45:42.903;7;PLAZA ROMA;9
